date,option_name,option_type,bid,ask,mid,expiration,strike,underlying,moneyness,implied_volatility,delta
2026-01-06,C_20260108_0920,call,80.69731522313845,82.32756401552507,81.51243961933176,2026-01-08,920.0,1000.0,0.92,0.6065829986063208,0.9421353237405361
2026-01-06,P_20260108_0920,put,1.352755267882771,1.3800836571329278,1.3664194625078494,2026-01-08,920.0,1000.0,0.92,0.6065829986063208,-0.0578646762594639
2026-01-06,C_20260108_0940,call,62.20623916507489,63.462930865379434,62.83458501522716,2026-01-08,940.0,1000.0,0.94,0.5727117684798837,0.8927636608018521
2026-01-06,P_20260108_0940,put,2.6585366020963286,2.712244412239689,2.685390507168009,2026-01-08,940.0,1000.0,0.94,0.5727117684798837,-0.1072363391981479
2026-01-06,C_20260108_0960,call,44.95787093031585,45.866110747089905,45.41199083870288,2026-01-08,960.0,1000.0,0.96,0.543903072360005,0.8078443524856957
2026-01-06,P_20260108_0960,put,5.207025759614422,5.312218199202593,5.259621979408507,2026-01-08,960.0,1000.0,0.96,0.543903072360005,-0.19215564751430425
2026-01-06,C_20260108_0980,call,29.88349411472622,30.487201066538873,30.185347590632546,2026-01-08,980.0,1000.0,0.98,0.522367097669801,0.6775318951658494
2026-01-06,P_20260108_0980,put,9.929506336301944,10.130102423904003,10.029804380102973,2026-01-08,980.0,1000.0,0.98,0.522367097669801,-0.32246810483415056
2026-01-06,C_20260108_1000,call,18.0187894849974,18.382805434189265,18.200797459593332,2026-01-08,1000.0,1000.0,1.0,0.509961094065143,0.5104548209256884
2026-01-06,P_20260108_1000,put,17.861659098850158,18.22250069680673,18.042079897828444,2026-01-08,1000.0,1000.0,1.0,0.509961094065143,-0.4895451790743116
2026-01-06,C_20260108_1020,call,9.88234221664326,10.081985493747162,9.98216385519521,2026-01-08,1020.0,1000.0,1.02,0.5073368775873,0.34015937355650194
2026-01-06,P_20260108_1020,put,29.52206922277289,30.118474661616784,29.820271942194836,2026-01-08,1020.0,1000.0,1.02,0.5073368775873,-0.6598406264434981
2026-01-06,C_20260108_1040,call,5.044874598577561,5.146791257134684,5.095832927856122,2026-01-08,1040.0,1000.0,1.04,0.5135931120264554,0.20302850772654574
2026-01-06,P_20260108_1040,put,44.48145899698417,45.380074330256576,44.930766663620375,2026-01-08,1040.0,1000.0,1.04,0.5135931120264554,-0.7969714922734543
2026-01-06,C_20260108_1060,call,2.479002423751018,2.529083280796493,2.5040428522737557,2026-01-08,1060.0,1000.0,1.06,0.5267757859304388,0.11222213313124274
2026-01-06,P_20260108_1060,put,61.71244421443467,62.959160259170716,62.33580223680269,2026-01-08,1060.0,1000.0,1.06,0.5267757859304388,-0.8877778668687573
2026-01-06,C_20260108_1080,call,1.2082889292576386,1.2326988066163789,1.2204938679370088,2026-01-08,1080.0,1000.0,1.08,0.5447151510914666,0.05956857756993033
2026-01-06,P_20260108_1080,put,80.23858811221851,81.85956969024312,81.04907890123081,2026-01-08,1080.0,1000.0,1.08,0.5447151510914666,-0.9404314224300697
2026-01-06,C_20260108_1100,call,0.5957167197260415,0.6077514009326282,0.6017340603293349,2026-01-08,1100.0,1000.0,1.1,0.5655812973433311,0.031213011650034376
2026-01-06,P_20260108_1100,put,99.42287329496402,101.43141618981177,100.4271447423879,2026-01-08,1100.0,1000.0,1.1,0.5655812973433311,-0.9687869883499656
2026-01-06,C_20260109_0900,call,99.92345191356503,101.94210750777847,100.93277971067175,2026-01-09,900.0,1000.0,0.9,0.5281477780445862,0.9686495193029799
2026-01-06,P_20260109_0900,put,0.7113343095199428,0.7257046996112547,0.7185195045655988,2026-01-09,900.0,1000.0,0.9,0.5281477780445862,-0.03135048069702007
2026-01-06,C_20260109_0920,call,80.79999692002151,82.43232009012296,81.61615850507224,2026-01-09,920.0,1000.0,0.92,0.4980637136976061,0.9413145652477573
2026-01-06,P_20260109_0920,put,1.383165591441992,1.4111083306630425,1.3971369610525173,2026-01-09,920.0,1000.0,0.92,0.4980637136976061,-0.05868543475224275
2026-01-06,C_20260109_0940,call,62.330220379571024,63.58941675087549,62.95981856522326,2026-01-09,940.0,1000.0,0.94,0.4705558757283725,0.8916727988480845
2026-01-06,P_20260109_0940,put,2.7086753264574357,2.7633960401232427,2.736035683290339,2026-01-09,940.0,1000.0,0.94,0.4705558757283725,-0.10832720115191552
2026-01-06,C_20260109_0960,call,45.10853551625101,46.01981906203386,45.564177289142435,2026-01-09,960.0,1000.0,0.96,0.4471662294196939,0.8067454559835737
2026-01-06,P_20260109_0960,put,5.2822767386028655,5.388989399988782,5.335633069295824,2026-01-09,960.0,1000.0,0.96,0.4471662294196939,-0.19325454401642628
2026-01-06,C_20260109_0980,call,30.05717730416472,30.664393007279163,30.360785155721942,2026-01-09,980.0,1000.0,0.98,0.429680007662327,0.6770433764650563
2026-01-06,P_20260109_0980,put,10.026204801982276,10.228754393941513,10.127479597961894,2026-01-09,980.0,1000.0,0.98,0.429680007662327,-0.3229566235349437
2026-01-06,C_20260109_1000,call,18.195943788947964,18.563538612967115,18.37974120095754,2026-01-09,1000.0,1000.0,1.0,0.4195956103080696,0.5112054087603254
2026-01-06,P_20260109_1000,put,17.960257562231188,18.323091048336867,18.141674305284027,2026-01-09,1000.0,1000.0,1.0,0.4195956103080696,-0.4887945912396746
2026-01-06,C_20260109_1020,call,10.035149599808202,10.237879894753823,10.136514747281012,2026-01-09,1020.0,1000.0,1.02,0.4174384037025322,0.3420848550685859
2026-01-06,P_20260109_1020,put,29.594749648557038,30.19262337883092,29.89368651369398,2026-01-09,1020.0,1000.0,1.02,0.4174384037025322,-0.6579151449314141
2026-01-06,C_20260109_1040,call,5.156469901370837,5.26064101048944,5.208555455930139,2026-01-09,1040.0,1000.0,1.04,0.422480910501486,0.20536009916126735
2026-01-06,P_20260109_1040,put,44.511356225585516,45.410575543274106,44.96096588442981,2026-01-09,1040.0,1000.0,1.04,0.422480910501486,-0.7946399008387326
2026-01-06,C_20260109_1060,call,2.550627901851208,2.6021557382522427,2.5763918200517253,2026-01-09,1060.0,1000.0,1.06,0.4331453134224629,0.1142417051427575
2026-01-06,P_20260109_1060,put,61.70080050153141,62.94728131974417,62.32404091063779,2026-01-09,1060.0,1000.0,1.06,0.4331453134224629,-0.8857582948572424
2026-01-06,C_20260109_1080,call,1.2506377713655097,1.2759031808880452,1.2632704761267775,2026-01-09,1080.0,1000.0,1.08,0.4476775727110554,0.061016055872618276
2026-01-06,P_20260109_1080,put,80.19609664651145,81.81621981108745,81.00615822879945,2026-01-09,1080.0,1000.0,1.08,0.4476775727110554,-0.9389839441273817
2026-01-06,C_20260109_1100,call,0.6196925255273154,0.6322115664470591,0.6259520459871872,2026-01-09,1100.0,1000.0,1.1,0.46459614642012764,0.03214566762847609
2026-01-06,P_20260109_1100,put,99.36043767613886,101.3677192453538,100.36407846074633,2026-01-09,1100.0,1000.0,1.1,0.46459614642012764,-0.9678543323715239
2026-01-06,C_20260110_0900,call,100.01178379865257,102.03222387539302,101.0220038370228,2026-01-10,900.0,1000.0,0.9,0.4596658337912468,0.9681121556378369
2026-01-06,P_20260110_0900,put,0.7289715490038552,0.743698246963529,0.7363348979836921,2026-01-10,900.0,1000.0,0.9,0.4596658337912468,-0.031887844362163076
2026-01-06,C_20260110_0920,call,80.90279514677343,82.53719504872845,81.71999509775094,2026-01-10,920.0,1000.0,0.92,0.4337392800805195,0.9404997063275375
2026-01-06,P_20260110_0920,put,1.4136981804660806,1.4422577396674157,1.4279779600667482,2026-01-10,920.0,1000.0,0.92,0.4337392800805195,-0.059500293672462456
2026-01-06,C_20260110_0940,call,62.454165255142634,63.715865563327334,63.085015409234984,2026-01-10,940.0,1000.0,0.94,0.4100425734544372,0.8905965026659637
2026-01-06,P_20260110_0940,put,2.7587835721761795,2.8145165736342843,2.786650072905232,2026-01-10,940.0,1000.0,0.94,0.4100425734544372,-0.10940349733403631
2026-01-06,C_20260110_0960,call,45.2587963723021,46.173115490934464,45.71595593161828,2026-01-10,960.0,1000.0,0.96,0.38989901495656243,0.8056687927169229
2026-01-06,P_20260110_0960,put,5.357129972676813,5.4653548206096785,5.411242396643246,2026-01-10,960.0,1000.0,0.96,0.38989901495656243,-0.19433120728307707
2026-01-06,C_20260110_0980,call,30.229989051695473,30.840695901224674,30.535342476460073,2026-01-10,980.0,1000.0,0.98,0.37483829280331293,0.6765704940278471
2026-01-06,P_20260110_0980,put,10.122037935411425,10.326523550268222,10.224280742839824,2026-01-10,980.0,1000.0,0.98,0.37483829280331293,-0.3234295059721529
2026-01-06,C_20260110_1000,call,18.372088266100736,18.743241564405803,18.55766491525327,2026-01-10,1000.0,1000.0,1.0,0.36614291597549076,0.5119452381773236
2026-01-06,P_20260110_1000,put,18.057852433157787,18.422657532817542,18.240254982987665,2026-01-10,1000.0,1000.0,1.0,0.36614291597549076,-0.4880547618226764
2026-01-06,C_20260110_1020,call,10.187401354027024,10.393207441987165,10.290304398007095,2026-01-10,1020.0,1000.0,1.02,0.3642622031799725,0.34397656023651435
2026-01-06,P_20260110_1020,put,29.66688080442523,30.266211729767154,29.96654626709619,2026-01-10,1020.0,1000.0,1.02,0.3642622031799725,-0.6560234397634856
2026-01-06,C_20260110_1040,call,5.268175016898198,5.374602795017353,5.321388905957775,2026-01-10,1040.0,1000.0,1.04,0.36857333250961904,0.20766025058365367
2026-01-06,P_20260110_1040,put,44.54136975063753,45.44119540216556,44.991282576401545,2026-01-10,1040.0,1000.0,1.04,0.36857333250961904,-0.7923397494163463
2026-01-06,C_20260110_1060,call,2.622758582924736,2.675743604802004,2.64925109386337,2026-01-10,1060.0,1000.0,1.06,0.3777247421597367,0.11624712770838869
2026-01-06,P_20260110_1060,put,61.68966860000514,62.93592453131837,62.312796565661756,2026-01-10,1060.0,1000.0,1.06,0.3777247421597367,-0.8837528722916113
2026-01-06,C_20260110_1080,call,1.2935547563287983,1.319687175648572,1.3066209659886852,2026-01-10,1080.0,1000.0,1.08,0.39021219276758284,0.062463702512980376
2026-01-06,P_20260110_1080,put,80.15418005675038,81.77345642153323,80.9638182391418,2026-01-10,1080.0,1000.0,1.08,0.39021219276758284,-0.9375362974870196
2026-01-06,C_20260110_1100,call,0.6441319840854767,0.6571447514407389,0.6506383677631078,2026-01-10,1100.0,1000.0,1.1,0.40476326063756346,0.03308476565587185
2026-01-06,P_20260110_1100,put,99.29847256784826,101.30450231669367,100.30148744227097,2026-01-10,1100.0,1000.0,1.1,0.40476326063756346,-0.9669152343441282
2026-01-06,C_20260111_0900,call,100.10024846928272,102.12247571108642,101.11136209018457,2026-01-11,900.0,1000.0,0.9,0.4131637222118662,0.9675758607650525
2026-01-06,P_20260111_0900,put,0.7467471844939888,0.7618329862009381,0.7542900853474634,2026-01-11,900.0,1000.0,0.9,0.4131637222118662,-0.03242413923494747
2026-01-06,C_20260111_0920,call,81.00570493087487,82.64218381836729,81.82394437462108,2026-01-11,920.0,1000.0,0.92,0.3900861082185775,0.9396907533601286
2026-01-06,P_20260111_0920,put,1.4443480619798228,1.4735268107066881,1.4589374363432555,2026-01-11,920.0,1000.0,0.92,0.3900861082185775,-0.06030924663987136
2026-01-06,C_20260111_0940,call,62.57806893007944,63.842272342808315,63.21017063644388,2026-01-11,940.0,1000.0,0.94,0.3690016244414883,0.889534528740735
2026-01-06,P_20260111_0940,put,2.8088564770779025,2.8656010523724054,2.837228764725154,2026-01-11,940.0,1000.0,0.94,0.3690016244414883,-0.11046547125926498
2026-01-06,C_20260111_0960,call,45.40865596290568,46.32600254801488,45.86732925546028,2026-01-11,960.0,1000.0,0.96,0.3510832595847744,0.8046137338796711
2026-01-06,P_20260111_0960,put,5.431587925797697,5.54131697480371,5.486452450300703,2026-01-11,960.0,1000.0,0.96,0.3510832595847744,-0.19538626612032894
2026-01-06,C_20260111_0980,call,30.401946341612618,31.01612707578661,30.709036708699614,2026-01-11,980.0,1000.0,0.98,0.33768492340476236,0.6761126686274977
2026-01-06,P_20260111_0980,put,10.217022720398113,10.423427219800097,10.320224970099105,2026-01-11,980.0,1000.0,0.98,0.33768492340476236,-0.32388733137250225
2026-01-06,C_20260111_1000,call,18.547245432377423,18.92193725929414,18.73459134583578,2026-01-11,1000.0,1000.0,1.0,0.32994059108825835,0.51267465956593
2026-01-06,P_20260111_1000,put,18.154466227056616,18.52122312053251,18.337844673794564,2026-01-11,1000.0,1000.0,1.0,0.32994059108825835,-0.48732534043407005
2026-01-06,C_20260111_1020,call,10.339104631282742,10.547975431914717,10.44354003159873,2026-01-11,1020.0,1000.0,1.02,0.3282473027670846,0.3458355777124019
2026-01-06,P_20260111_1020,put,29.73846984185541,30.339247010377743,30.038858426116576,2026-01-11,1020.0,1000.0,1.02,0.3282473027670846,-0.6541644222875981
2026-01-06,C_20260111_1040,call,5.379978884248939,5.488665326354979,5.434322105301959,2026-01-11,1040.0,1000.0,1.04,0.33205430557434956,0.20992966050836553
2026-01-06,P_20260111_1040,put,44.57148851071528,45.47192262204286,45.02170556637907,2026-01-11,1040.0,1000.0,1.04,0.33205430557434956,-0.7900703394916344
2026-01-06,C_20260111_1060,call,2.695379329147505,2.749831436807051,2.722605382977278,2026-01-11,1060.0,1000.0,1.06,0.34016568454642565,0.11823837887934813
2026-01-06,P_20260111_1060,put,61.67903337150747,62.925074449719745,62.30205391061361,2026-01-11,1060.0,1000.0,1.06,0.34016568454642565,-0.8817616211206518
2026-01-06,C_20260111_1080,call,1.3370302151403948,1.3640409265573723,1.3505355708488835,2026-01-11,1080.0,1000.0,1.08,0.3512489073227839,0.06391118795942635
2026-01-06,P_20260111_1080,put,80.11282867339398,81.73126965669488,80.92204916504443,2026-01-11,1080.0,1000.0,1.08,0.3512489073227839,-0.9360888120405737
2026-01-06,C_20260111_1100,call,0.6690315424619547,0.6825473311985598,0.6757894368302573,2026-01-11,1100.0,1000.0,1.1,0.36417516677566786,0.03403001213406741
2026-01-06,P_20260111_1100,put,99.23697441660886,101.24176177856054,100.2393680975847,2026-01-11,1100.0,1000.0,1.1,0.36417516677566786,-0.9659699878659326
2026-01-06,C_20260112_0900,call,100.18884302042544,102.2128600511411,101.20085153578327,2026-01-12,900.0,1000.0,0.9,0.379005717075896,0.9670407019475054
2026-01-06,P_20260112_0900,put,0.7646583105149003,0.7801059531515651,0.7723821318332327,2026-01-12,900.0,1000.0,0.9,0.379005717075896,-0.032959298052494646
2026-01-06,C_20260112_0920,call,81.10872144012154,82.7472814692149,81.92800145466822,2026-01-12,920.0,1000.0,0.92,0.35803929228009906,0.9388877088513242
2026-01-06,P_20260112_0920,put,1.4751104033240308,1.504910613492193,1.4900105084081119,2026-01-12,920.0,1000.0,0.92,0.35803929228009906,-0.06111229114867578
2026-01-06,C_20260112_0940,call,62.7019267809659,63.96863237250056,63.33527957673323,2026-01-12,940.0,1000.0,0.94,0.33889096929179285,0.8884866371637337
2026-01-06,P_20260112_0940,put,2.858889417281344,2.916644759044604,2.887767088162974,2026-01-12,940.0,1000.0,0.94,0.33889096929179285,-0.11151336283626634
2026-01-06,C_20260112_0960,call,45.55811682447107,46.47848282092504,46.018299822698054,2026-01-12,960.0,1000.0,0.96,0.3226220273092432,0.8035796743079773
2026-01-06,P_20260112_0960,put,5.505653133899949,5.616878449736311,5.56126579181813,2026-01-12,960.0,1000.0,0.96,0.3226220273092432,-0.19642032569202272
2026-01-06,C_20260112_0980,call,30.573065619886055,31.19070330917668,30.881884464531367,2026-01-12,980.0,1000.0,0.98,0.3104556839595487,0.6756693494559206
2026-01-06,P_20260112_0980,put,10.311175602427877,10.519482180254702,10.41532889134129,2026-01-12,980.0,1000.0,0.98,0.3104556839595487,-0.3243306505440794
2026-01-06,C_20260112_1000,call,18.721436982280736,19.09964783040762,18.910542406344177,2026-01-12,1000.0,1000.0,1.0,0.303415478141036,0.5133940064647574
2026-01-06,P_20260112_1000,put,18.25012063793545,18.61880994375233,18.43446529084389,2026-01-12,1000.0,1000.0,1.0,0.303415478141036,-0.4866059935352426
2026-01-06,C_20260112_1020,call,10.49026649659439,10.702191072283167,10.596228784438779,2026-01-12,1020.0,1000.0,1.02,0.3018596272587561,0.34766294696764877
2026-01-06,P_20260112_1020,put,29.809523825362334,30.41173642789491,30.11063012662862,2026-01-12,1020.0,1000.0,1.02,0.3018596272587561,-0.6523370530323512
2026-01-06,C_20260112_1040,call,5.491871030670194,5.6028179201786825,5.547344475424438,2026-01-12,1040.0,1000.0,1.04,0.3052910278000193,0.21216900896883928
2026-01-06,P_20260112_1040,put,44.601702032551366,45.50274651805746,45.05222427530441,2026-01-12,1040.0,1000.0,1.04,0.3052910278000193,-0.7878309910311607
2026-01-06,C_20260112_1060,call,2.7684754878834226,2.824404285618441,2.7964398867509317,2026-01-12,1060.0,1000.0,1.06,0.3126294963425427,0.12021545087374103
2026-01-06,P_20260112_1060,put,61.668880162877656,62.91471612576407,62.291798144320865,2026-01-12,1060.0,1000.0,1.06,0.3126294963425427,-0.879784549126259
2026-01-06,C_20260112_1080,call,1.3810546068734644,1.4089546999416152,1.3950046534075398,2026-01-12,1080.0,1000.0,1.08,0.322670080816783,0.06535819965847592
2026-01-06,P_20260112_1080,put,80.07203295498078,81.68964978235414,80.88084136866746,2026-01-12,1080.0,1000.0,1.08,0.322670080816783,-0.9346418003415241
2026-01-06,C_20260112_1100,call,0.6943875786667112,0.708415610558968,0.7014015946128396,2026-01-12,1100.0,1000.0,1.1,0.33439060329876746,0.03498112135377398
2026-01-06,P_20260112_1100,put,99.17593959988689,101.17949393523814,100.17771676756252,2026-01-12,1100.0,1000.0,1.1,0.33439060329876746,-0.965018878646226
2026-01-06,C_20260113_0900,call,100.27756458961557,102.30337397526438,101.29046928243997,2026-01-13,900.0,1000.0,0.9,0.3525869292995293,0.9665067432917063
2026-01-06,P_20260113_0900,put,0.7827020641562366,0.7985142270684837,0.7906081456123601,2026-01-13,900.0,1000.0,0.9,0.3525869292995293,-0.03349325670829373
2026-01-06,C_20260113_0920,call,81.21183997875347,82.85248321064749,82.03216159470048,2026-01-13,920.0,1000.0,0.92,0.3332673533131886,0.9380905716961065
2026-01-06,P_20260113_0920,put,1.5059805082839919,1.5364043569361936,1.5211924326100927,2026-01-13,920.0,1000.0,0.92,0.3332673533131886,-0.061909428303893455
2026-01-06,C_20260113_0940,call,62.825734411234414,64.09494116701693,63.460337789125674,2026-01-13,940.0,1000.0,0.94,0.31562959045190037,0.8874525917019598
2026-01-06,P_20260113_0940,put,2.9088779957543793,2.967643207789821,2.9382606017721002,2026-01-13,940.0,1000.0,0.94,0.31562959045190037,-0.11254740829804022
2026-01-06,C_20260113_0960,call,45.707181556447104,46.63055896162785,46.168870259037476,2026-01-13,960.0,1000.0,0.96,0.30064754992422976,0.8025660313863512
2026-01-06,P_20260113_0960,put,5.5793281959570455,5.692041896885471,5.6356850464212584,2026-01-13,960.0,1000.0,0.96,0.30064754992422976,-0.1974339686136488
2026-01-06,C_20260113_0980,call,30.743362817484705,31.364440854201565,31.053901835843135,2026-01-13,980.0,1000.0,0.98,0.28944220767669004,0.6752400123783385
2026-01-06,P_20260113_0980,put,10.404512511984377,10.614704683943659,10.509608597964018,2026-01-13,980.0,1000.0,0.98,0.28944220767669004,-0.3247599876216615
2026-01-06,C_20260113_1000,call,18.894683830195724,19.276394614644126,19.085539222419925,2026-01-13,1000.0,1000.0,1.0,0.28295072203925875,0.51410359661442
2026-01-06,P_20260113_1000,put,18.3448365796853,18.71543933887086,18.53013795927808,2026-01-13,1000.0,1000.0,1.0,0.28295072203925875,-0.48589640338558004
2026-01-06,C_20260113_1020,call,10.640893924471358,10.855861478501081,10.74837770148622,2026-01-13,1020.0,1000.0,1.02,0.28150099122533934,0.3494596611146768
2026-01-06,P_20260113_1020,put,29.880049728950546,30.483687097212176,30.18186841308136,2026-01-13,1020.0,1000.0,1.02,0.28150099122533934,-0.6505403388853233
2026-01-06,C_20260113_1040,call,5.603841537625625,5.717050457577658,5.6604459976016415,2026-01-13,1040.0,1000.0,1.04,0.2846379374353136,0.21437895789591332
2026-01-06,P_20260113_1040,put,44.632000397094714,45.53365697077339,45.08282868393405,2026-01-13,1040.0,1000.0,1.04,0.2846379374353136,-0.7856210421040867
2026-01-06,C_20260113_1060,call,2.842032875149712,2.8994476807082923,2.870740277929002,2026-01-13,1060.0,1000.0,1.06,0.29137191871951296,0.12217834886495327
2026-01-06,P_20260113_1060,put,61.659194789608726,62.9048350883887,62.282014938998714,2026-01-13,1060.0,1000.0,1.06,0.29137191871951296,-0.8778216511350467
2026-01-06,C_20260113_1080,call,1.4256185215881636,1.454418895761662,1.4400187086749128,2026-01-13,1080.0,1000.0,1.08,0.30059772769468845,0.06680444127323319
2026-01-06,P_20260113_1080,put,80.03178349103678,81.64858719792642,80.8401853444816,2026-01-13,1080.0,1000.0,1.08,0.30059772769468845,-0.9331955587267668
2026-01-06,C_20260113_1100,call,0.7201964088297524,0.7347458312303535,0.727471120030053,2026-01-13,1100.0,1000.0,1.1,0.3113764987213725,0.035937815395746295
2026-01-06,P_20260113_1100,put,99.11536443326818,101.11769502787965,100.11652973057392,2026-01-13,1100.0,1000.0,1.1,0.3113764987213725,-0.9640621846042537
2026-01-06,C_20260114_0900,call,100.36641035695055,102.39401460658593,101.38021248176824,2026-01-14,900.0,1000.0,0.9,0.3313935913751411,0.9659740458662547
2026-01-06,P_20260114_0900,put,0.8008756250702124,0.8170549306271863,0.8089652778486993,2026-01-14,900.0,1000.0,0.9,0.3313935913751411,-0.03402595413374532
2026-01-06,C_20260114_0920,call,81.31505598366898,82.95778438737948,82.13642018552423,2026-01-14,920.0,1000.0,0.92,0.3134061136796704,0.9372993374263237
2026-01-06,P_20260114_0920,put,1.5369538133025074,1.5680033852884165,1.552478599295462,2026-01-14,920.0,1000.0,0.92,0.3134061136796704,-0.06270066257367635
2026-01-06,C_20260114_0940,call,62.94948764032219,64.2211944613388,63.58534105083049,2026-01-14,940.0,1000.0,0.94,0.2969903610651683,0.8864321598512859
2026-01-06,P_20260114_0940,put,2.958818031469446,3.0185921331152934,2.9887050822923698,2026-01-14,940.0,1000.0,0.94,0.2969903610651683,-0.11356784014871413
2026-01-06,C_20260114_0960,call,45.85585281316102,46.78223367807337,46.319043245617195,2026-01-14,960.0,1000.0,0.96,0.2830494005656842,0.8015722440126128
2026-01-06,P_20260114_0960,put,5.652615765821913,5.766810023717305,5.709712894769609,2026-01-14,960.0,1000.0,0.96,0.2830494005656842,-0.19842775598738716
2026-01-06,C_20260114_0980,call,30.912853372429783,31.5373554607617,31.22510441659574,2026-01-14,980.0,1000.0,0.98,0.27262130097514764,0.6748241583164414
2026-01-06,P_20260114_0980,put,10.49704888660442,10.709110480273194,10.603079683438807,2026-01-14,980.0,1000.0,0.98,0.27262130097514764,-0.3251758416835586
2026-01-06,C_20260114_1000,call,19.06700614906027,19.452198192475628,19.25960217076795,2026-01-14,1000.0,1000.0,1.0,0.2665731978809432,0.5148037329299915
2026-01-06,P_20260114_1000,put,18.438634224748874,18.811131885854913,18.624883055301893,2026-01-14,1000.0,1000.0,1.0,0.2665731978809432,-0.4851962670700085
2026-01-06,C_20260114_1020,call,10.790993796048424,11.008993670716068,10.899993733382246,2026-01-14,1020.0,1000.0,1.02,0.26520845717140523,0.351226669534001
2026-01-06,P_20260114_1020,put,29.95005443325055,30.55510603796268,30.252580235606615,2026-01-14,1020.0,1000.0,1.02,0.26520845717140523,-0.648773330465999
2026-01-06,C_20260114_1040,call,5.715881009063232,5.831353352680671,5.773617180871952,2026-01-14,1040.0,1000.0,1.04,0.2681061272241943,0.21656015151313357
2026-01-06,P_20260114_1040,put,44.66237420777933,45.56464439379507,45.1135093007872,2026-01-14,1040.0,1000.0,1.04,0.2681061272241943,-0.7834398484868664
